	AUR-AFEA-TTP1-A-1-0-R-A741-41	AUR-AFEA-TTM4-A-1-1-R-A742-41	AUR-AFEA-TTM2-A-1-1-R-A742-41	AUR-AFEA-TTM1-A-1-1-R-A742-41	AUR-AFEA-TTM3-A-1-1-R-A742-41	AUR-AFEA-TTM6-A-1-0-R-A741-41	AUR-AFE7-TTP2-A-1-1-R-A742-41	AUR-AFE7-TTM2-A-1-1-R-A742-41	AUR-AFE7-TTM1-A-1-1-R-A742-41	AUR-AFE7-TTM3-A-1-1-R-A742-41	AUR-AD9G-TTP1-B-4-0-R-A584-39	AUR-AD9G-TTM2-A-1-1-R-A542-39	AUR-AD9G-TTM3-A-1-1-R-A542-39	AUR-AFE5-TTP1-A-1-0-R-A741-41	AUR-AFE5-TTM4-A-1-1-R-A742-41	AUR-AFE5-TTM9-A-1-1-R-A742-41	AUR-AG0N-TTP1-A-1-0-R-A741-41	AUR-AG0N-TTM1-A-1-1-R-A743-41	AUR-AG0M-TTP1-A-2-0-R-A741-41	AUR-AG0M-TTM1-A-2-1-R-A743-41	AUR-AG0J-TTP1-A-1-0-R-A741-41	AUR-AG0J-TTM1-A-1-0-R-A743-41	AUR-AFSP-TTP1-A-8-0-R-A741-41	AUR-AFSP-TTM1-A-8-0-R-A741-41	AUR-AF9A-TTP1-A-1-0-R-A741-41	AUR-AF9A-TTM1-A-1-1-R-A742-41	AUR-AF98-TTP1-A-1-0-R-A741-41	AUR-AF98-TTM1-A-1-1-R-A742-41	AUR-AF95-TTP1-A-1-0-R-A741-41	AUR-AF95-TTM1-A-1-1-R-A742-41	AUR-AFSL-TTP1-A-8-0-R-A741-41	AUR-AFSL-TTM1-A-8-0-R-A741-41	AUR-AFR5-TTP1-A-1-1-R-A743-41	AUR-AFR5-TTM1-A-1-1-R-A743-41	AUR-AE6Y-TTP1-A-1-0-R-A741-41	AUR-AE6Y-TTM1-A-1-1-R-A742-41	AUR-AE5H-TTP1-A-1-1-R-A742-41	AUR-AE5H-TTM1-A-1-1-R-A742-41	AUR-AFUI-TTP1-A-1-0-R-A743-41	AUR-AFUI-TTM1-A-1-0-R-A743-41	AUR-AER7-TTP1-A-1-0-R-A741-41	AUR-AER7-TTM4-A-1-1-R-A742-41	AUR-AER6-TTP1-A-1-0-R-A741-41	AUR-AER6-TTM2-A-1-1-R-A742-41	AUR-AER6-TTM3-A-1-1-R-A742-41	AUR-AER6-TTM7-A-1-1-R-A742-41	AUR-AER6-TTM9-A-1-1-R-A742-41	AUR-AER6-TTM6-A-1-1-R-A742-41	AUR-AER6-TTM5-A-1-1-R-A742-41	AUR-AER6-TTM1-A-1-1-R-A742-41	AUR-AER6-TTM10-A-1-1-R-A742-41	AUR-AFEC-TTP2-A-1-1-R-A742-41	AUR-AFEC-TTM3-A-1-1-R-A742-41	AUR-AFEC-TTM4-A-1-1-R-A742-41	AUR-AFEC-TTM6-A-1-1-R-A742-41	AUR-AG12-TTP1-A-1-0-R-A741-41	AUR-AG12-TTM1-A-1-1-R-A743-41	AUR-AERX-TTP1-A-1-0-R-A741-41	AUR-AERX-TTM1-A-1-1-R-A742-41	AUR-AERW-TTP1-B-1-0-R-A741-41	AUR-AERW-TTM1-A-1-1-R-A742-41	AUR-AFSO-TTP1-A-8-0-R-A741-41	AUR-AFSO-TTM1-A-8-0-R-A741-41	AUR-AFR3-TTP1-A-2-1-R-A743-41	AUR-AFR3-TTM1-A-1-1-R-A743-41	AUR-AE5G-TTP1-A-1-1-R-A742-41	AUR-AE5G-TTM1-A-1-1-R-A742-41	AUR-AF94-TTP1-A-1-0-R-A741-41	AUR-AF94-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTP1-A-1-0-R-A741-41	AUR-AFE4-TTM1-A-1-1-R-A742-41	AUR-AFE4-TTM6-A-1-1-R-A742-41	AUR-AFE4-TTM5-A-1-1-R-A742-41	AUR-AFUN-TTP1-A-1-0-R-A741-41	AUR-AFUN-TTM1-A-1-0-R-A743-41	AUR-AFUL-TTP1-A-1-1-R-A743-41	AUR-AFUL-TTM1-A-1-1-R-A743-41	AUR-AFKB-TTP1-A-10-0-R-A741-41	AUR-AFKB-TTM1-A-1-1-R-A742-41	AUR-AEPZ-TTP1-A-1-1-R-A742-41	AUR-AEPZ-TTM1-A-1-1-R-A742-41	AUR-AER8-TTP1-A-1-0-R-A741-41	AUR-AER8-TTM2-A-1-1-R-A742-41	AUR-AFKF-TTP1-A-10-0-R-A741-41	AUR-AFKF-TTM1-A-1-1-R-A742-41	AUR-AFUM-TTP1-A-1-0-R-A741-41	AUR-AFUM-TTM1-A-1-1-R-A743-41	AUR-AFE9-TTP1-A-1-0-R-A741-41	AUR-AFE9-TTM1-A-1-1-R-A742-41	AUR-AFE9-TTM4-A-1-1-R-A742-41	AUR-AFE9-TTM2-A-1-1-R-A742-41	AUR-AFE9-TTM3-A-1-1-R-A742-41	AUR-AER2-TTP1-A-1-1-R-A742-41	AUR-AER2-TTM3-A-1-1-R-A742-41	AUR-AER2-TTM1-A-1-1-R-A742-41	AUR-AFE6-TTP1-A-1-0-R-A741-41	AUR-AFE6-TTM2-A-1-1-R-A742-41	AUR-AFE6-TTM1-A-1-1-R-A742-41	AUR-AFR4-TTP1-A-1-1-R-A743-41	AUR-AFR4-TTM1-A-1-1-R-A743-41	AUR-AE6X-TTP1-A-1-0-R-A741-41	AUR-AE6X-TTM1-A-1-1-R-A742-41	AUR-AFKD-TTP1-A-1-1-R-A742-41	AUR-AER4-TTP1-A-1-0-R-A741-41	AUR-AD9J-TTP1-B-4-0-R-A584-39	AUR-AFUO-TTP1-A-1-0-R-A741-41	AUR-AFR2-TTP1-A-1-1-R-A742-41	AUR-AERY-TTM1-A-1-1-R-A742-41	AUR-ADCB-TTM1-A-1-1-R-A742-41	AUR-AD9I-TTM3-A-1-1-R-A542-39	AUR-AD9E-TTM1-A-1-1-R-A542-39	AUR-AFUP-TTM1-A-1-1-R-A743-41	AUR-AFUK-TTM2-A-1-0-R-A743-41	AUR-AD9H-TTM1-A-2-1-R-A542-39	AUR-AD9E-TTM4-A-1-1-R-A542-39	AUR-AD9E-TTM2-A-1-1-R-A542-39	AUR-AFUK-TTM1-A-1-0-R-A743-41	AUR-AD9H-TTM3-A-1-1-R-A542-39	AUR-AD9H-TTM2-A-1-1-R-A542-39	AUR-AD9F-TTM3-A-1-1-R-A542-39	AUR-AD9F-TTM1-A-1-1-R-A542-39	AUR-AD9F-TTM2-A-1-1-R-A542-39	AUR-AFUG-TTM1-A-1-1-R-A743-41	AUR-AFE5-NT1-A-1-1-R-A742-41	AUR-AFE9-NT1-A-1-1-R-A742-41	AUR-AFE6-NT1-A-1-1-R-A742-41	AUR-AFE4-NT1-A-1-1-R-A742-41	AUR-AE5G-NT1-A-1-1-R-A742-41	AUR-AFEC-NT1-A-1-1-R-A742-41
N:GEXP::ABAT:18:	217.00012	171.00032	2773.61969	483.62516	148.00006	334.00038	169.99957	381.9998	252.94391	274.000408	171.00008	14867.33036	222.0002	278.95313	389.0001	382.45416	208.99998	95.00005	409.77989	409.99957	502.0005066	168.99994	393.00038	401.686952	575.75181	385.99973	285.00034	429.88515	790.04236	621.51902	207.000135	363.99993	578.72193	347.00038	332.99991	233.94088	460.90264	185.999565	455.00016	464.99989	473.94611	278.87148	482.84986	1003.5666	589.96	184.99985	790.9403	748.00008	373.9997	298.00014	400.63247	241.00002	173.90646	5816.29153	176.99952	470.91782	559.83521	1086.94461	1476.00278	312.99985	315.9999	581.919	517.86871	275.99961	349.00036	6822.47091	3893.37005	1663.85585	5508.93815	449.99989	2511.14648	4970.51755	1143.20189	1850.285	2668.98235	9438.85981	4521.3464	599.05218	2203.00132	3253.09578	6936.03832	475.7962	429.91792	1264.24498	9680.83243	456.94654	313.00042	121.62595	12420.14905	36972.17187	540.19186	3637.39212	607.7384	233.84755	516.00054	398.88026	216.99997	187.0002	1038.88242	906.99998	446.00007	6880.83703	143.9999	703.08836	611.99989	186.0007	5253.92486	4029.78917	401.00031	6726.94496	467.97308	3472.69255	2847.93469	556.93127	2671.88054	869.98562	1216.85265	2115.00075	1973.05099	1306.971398	4344.97464	739.80996	1541.90615	5442.344013	9411.88115	870.83909	59500.58478	728.05805	391.90181
N:GEXP::AFF3:3899:	210.00009	101.00005	2470.0007	370	144.0004	823.00073	1127.081837	1599.99765	1177.00067	534.99933	735.00096	1708.00043	1052.00043	478.00096	224.00001	1016.99999	288.00008	49.00002	1383.20323	2998.97589	1794.00105	40.99995	382.6717576	308.00002	529.00016	468.669333	280.38699	60.00004	630.00034	662.999529	267.81634	754.23083	636.512393	70.60997	151.00016	641.0004	3270.99686	1231.001	132.00002	65.00003	353.2386	14	677.63924	181.99948	141.00051	42.000011	76	606.9997	79.487703	50.99998	47.00009	205.9997	175.0003	111.00007	3.999999	1460.75614	116.99998	3524.99771	3485.31589	3018.95919	1249.99978	795.00021	1504.99858	620.99975	71.00002	5996.2933	18955.23108	2397.88038	15087.05804	840.26074	2420.00007	1870.5887	291.99959	1288.99415	3525.30049	10880.42036	3555.92149	1639.99709	2550.92325	15342.86608	12157.94829	5146.00284	13259.43677	4470.35901	5476.972598	2261.09568	166.0003	4593.9984	14618.46119	829.717143	815.2084245	2990.06446	745.99985	53.99999	2352.73416	1321.99936	333.00009	446.965394	4859.67737	313.00005	1234.00025	332.999773	78.944134	2768.38617	1631.98723	1783.68161	3364.31602	84.637577	1002.00034	9016.292557	9875.40007	34720.43776	29433.0262	4930.38148	12536.77923	11192.67797	11224.06882	28244.78827	33374.15886	7595.06357	9171.54441	6667.285438	17848.78133	1807.17951	2608.675442	2736.58192	970.00006	1857.86803	731.34535
N:GEXP::AGR2:10551:	73.99997	21	38.00002	46.00004	36	63	21.99999	8	25	66.00003	17.00001	3	3	6	4	11	62.00005	25.00003	202.99961	2652.9982	79.00009	6	34.00004	111.00011	3863.0037	6593.0037	48.00003	43.00004	29.00003	30.00004	73.99998	296.00042	79.00002	35.00001	46.00006	194.99969	86	10	19623.997	45303.95826	22.99997	28.99998	274.0005	3228.0047	327.00002	356.99985	184	412.00021	1651.0034	460.00002	56.00001	3249.0008	32631.03101	97605.05725	8365.9952	960.0005	5551.99835	5024.9967	4852.9965	5523.00357	9450.999	4242.00194	9988.00196	11342.999	33537.013	53270.00778	231266.1267	11255.0016	69739.963	1650.00347	30938.00249	94545.0733	10692.0034	1584.0057	130812.2909	34220.963	46318.995	2931.99919	29732.99	10352.0025	20284.011	355.00059	477.99977	2623.9995	36951.0411	161.99964	342.00039	744.00029	35080.005	549.00021	1727.99854	1339	3610.001	321.00053	1223.00039	91.00004	8	12	2843.99471	457.00019	107.00007	284.99963	8.000004	2957.00297	1094.0004	1073.00178	144195.5136	27928.0356	54035.021	2408.9999	83494.04745	40506.01014	17286.96047	861.0003	22069.964	14252.9957	23466.00065	43706.9761	59781.9821	1892.9997	12302.993	2776.0013	102389.997	3	6	1746.0031	173.0001	1142.00042	329.00009
N:GEXP::AGR3:155465:	0	2	9	19	17	1	38.00002	12	14	42	6	5	8.00001	1	3	3	9	0	7	29.99997	7	131.0001	5	30.00006	18.00005	15.99996	8	1	2	21.00003	13	26	0	6	7	11	11	0	74.99998	523.99956	11	9	7.00001	5	8	0	3	5.999998	3	31.00005	2	63.99996	471.0004	683.00047	148.00006	6	3	102.00003	19	272.99997	6	600.0004	2082	390.00027	727.9996	5375.997	13037.001	735.0005	2270.0045	99.00005	1367.9998	1935.0013	609.9997	294.99989	6541.9959	5443.9992	2189.00358	1590.0003	589.00031	2626.0024	1114.0006	15.99999	24.99997	101	3257.99574	47.00003	18.00002	1922.0006	8754.0067	672.00059	1032	5496.9968	1231.00055	127.00006	1038.9993	36.00005	3	1	922.0004	4	11.00001	13	1	209.9998	179.0002	377.0005	14724.0469	176.00039	7446.0043	1090.9999	4402.995	5243.9985	8155.0014	240.99973	2513.001	2732	17282.9818	3125.999	5748.006	258.0002	590.9999	302.00006	2377.996	0	1	3395.9982	2	348.0005	110.99965
N:GEXP::ANLN:54443:	2727.0048	15772.0018	12663.99494	3886.00401	4916.99705	8694.99727	4807.00175	11679.97181	6864.99411	8332.00428	3381.00695	3119.99828	3793.0091	2268.00661	1635.99965	977.00005	5600.9999	12033.0258	1841.00331	5440.998883	1434.00073	8910.9999	322.00078	1474.99857	1245.999635	7500.9966	1666.00245	3554.99626	2847.99615	10804.99435	5750.00099	2706.00421	1209.00047	1610.00511	6374.00392	9294.99822	11078.00418	4341.00469	10525.99925	19235.98776	1860.00306	713.00038	2180.00072	1727.00009	3830.0035	1648.0004	3518.99802	1081.00088	1794.99654	1189.99999	583.00006	2877.99827	7633.9979	14592.9858	8446.99529	1363.998523	4087.00178	1456.00109	2664.99569	1302.87946	4192.00344	1606.99608	2567.00261	5664.9983	5163.99699	5340.00089	14566.00425	1105.99993	2284.00071	452.0001054	936.0009	1824.997282	1004.99997	183.0001	1448.99662	1664.99693	267.999599	283.99965	2519.99566	1113.00031	202.99964	77.0001	1650.99789	383.0002	4631.00538	170.999977	24178.9869	401.00018	3782.00322	85.00006	121.00001	427.99938	1063.00088	299.00051	636.99937	675.99927	2012.99827	3468.99326	1368.99679	3921.00185	439.0002	9901.99849	1972.00192	104.00011	211.0001	389.00043	3976.00165	11576.00174	2754.99971	1318.0019	7029.9993	1193.99966	322.99961	69.00006	564.000466	799.0004	890.00012	740	1221.00084	1694.00084	2496.00349	1415.9996	8914.00018	1387	22986.0179	89.0000653	13.999953	622	172.99979
N:GEXP::ANP32E:81611:	850	4258.0044	6826.99861	1603.99998	2330.00465	4685.00183	3152.998	7570.99814	6158.0056	8198.99617	1854.0057	1318.99996	989.00063	8702.0127	3317.9986	1567.0004	4532.00636	13167.99943	3778.99809	14188.043	2433.99477	4568.0014	521.00075	2137.99935	2173.99744	12562.0141	1872.99888	3553.00435	3461.99518	2203.99799	3359.99845	2354.00436	1333.00075	2827.0012	2512.00464	6637.003102	9520.99586	8964.99828	4788.00009	4438.004	2243.00037	259.9997	1268.00112	399.99959	2361.99539	879.00015	723.00023	1370.0002	423.99978	885.99985	516.0002	1829.00253	6728.00557	3182.99729	3253.00474	1167.00024	1035.9996	444.00029	886.0005	387.0002	2059.99699	2145.00383	2489.99746	8274.998824	10871.00149	2779.99595	2858.00378	813.9997	1788.0045	1198.00169	1191.00022	2607.00446	761.00044	419.0002841	1376.99989	2501.0042	1392.9999	399.0001	7117.00365	667.0005	862.0001	893.99949	752.000164	1052.0015	2867.9984	974	6417.9963	720.001	3304.99688	706.0007	1779.99506	2729.00248	713.000271	333.99967	235.00042	1715.00017	243.00001	1104.00037	1807.99577	5218.00237	1383.0001	3517.99658	2314.00089	574.99959	808.001	199.00001	2151.99573	2233.99489	3299.00093	1443.00305	8520.00646	2888.9964	696.99979	131.00009	1226.0007	1010.9996	796.00055	773.99958	1079	1805.9998	1784.99997	1707.99939	3391.99926	656.00059	1768.00164	1307.9972	913.00015	2351.99654	2597.00299
N:GEXP::ANXA3:306:	429.9998	2165.00198	1295.99966	272.00008	1559.00477	906.9987	5318.0023	16947.97292	5376.0016	6734.9966	630.00008	182.99992	276.99977	279.00053	351.00042	271.00028	835.00085	851.00005	450.0002	729.00001	980.00128	758.00003	181.00019	517.00071	78	42.00003	255.00011	219.99999	837.00001	1703.99778	1422.00047	865.99951	65.99997484	55	8000.0085	30038.96626	7744.99913	2576.00058	5293.0018	14050.987	961.999018	6191.996	821.000617	2305.9988	3112.00527	2977.002625	2018.99688	1804.9999	2891.9994	5233.0081	2932.9975	1026.00053	1544.0006	2238.9979	3213.99801	926.0002	1678.9994	612.0004	1499.00091	200.00013	1546.00125	290.00051	759.00002	1942.0052	198.0003	1951.0024	578.99972	453.00004	857.00025	304.00025	2133.998	3008.0016	512.0003	103.00006	1038	2213.00076	6596.0036	90.00008	7063.0012	1715.99979	3630.0007	244.00052	298.99991	183.9999	885.99964	69.00008	299.99981	27.99998	281.99978	197.0002	1205.00041	1046.99992	72.99994	34.99999	105	62.00006	83.00005	42.00001	2147.0003	4168.00221	377.0004	7278.9991	26.99998	111.00016	163.00013	24.00001	1596.0005	4299.9989	605.99991	1711.9979	110.0000773	103	378.00004	25	71.99994	183.00004	284.00057	128.99978	67.99999	628	1487.0001	418.9998	1401.00353	79.00002	466.99987	3442.0029	62.00001	2731.00392	2263.003
N:GEXP::ANXA9:8416:	83	82	68	59	25.9999933	97	41	173	87	115	29	318	21	120	176	104	47	72	235	153	88	93	39	74	101	47	187	252	125	981	199	246	56	24	65	52	219	156	301	196	116	71	144	87	56	48	48	45	41	49	29	26	50	250	58	131	434	408	1239	88	245	175	305	1366	249	523	768	477	8105	143	2253	7851	1214	196	434	2981	1365	270	862	1851	1299	309	1422	291	2140	155	102	196	1344	615	37	157	335	88	278	67	49	12	286	161	80	375	24	226	61.0001	97.0001	1958	683	559	1550	176	2130	869	84	1205	1225	739.00043	1732	1541	893	1439	713	2031	35	159	81	1177	170	50
N:GEXP::AR:367:	525.00072	447.9996	241.9995392	201.00028	129.999828	244.0001973	428.9993435	371.00045	167.00045	212.0001506	298.00058	5547.999883	359.00008	485.000631	438.9999904	509.99989	336	216.00042	4588.003757	10369.99553	600.00106	323.99984	428.0003646	116.26409	5411.00154	8219.00231	232.00017	328.00039	511.9997787	54.000009	1074.00046	618.99982	981.811003	234.00012	221.99998	118.000049	1652.999977	442.000019	3502.99829	1619.004111	300.00047	170.999932	4082.999174	3252.0068	1352.999628	1247.999897	1931.000119	1049.9999	1686.99921	3304.00068	959.2304716	323.00017	180.000329	1528.9994	252.99938	6685.0012	26989.0008	7610.99926	2125.002174	4015.9967	10168.99612	6415.99508	6565.9961	21306.9966	308.9998653	21132.9627	36675.99687	7388.9998	4649.9951	4463.0003	4708.99856	8034.00231	3392.0091	2702.00331	17341.04233	14963.9868	18113.9885	7296.0039	41695.9607	23944.0429	37899.96273	2691.004129	2095.995502	5838.99917	11401.00297	2760.0001	240.99984	4984.00407	11397.9996	13017.0043	1356.001009	4717.00027	3988.00233	413.000163	1938.000362	1201.00018	377.00024	165.000023	7330.00079	372.00034	1930.00436	3048.996613	552.0003083	2496.998162	2231.00366	1894.0025	14458.9761	16097.002	8577.000801	11859.9935	10335.99251	57262.96501	7080.00442	196.00001	10384.9979	5867.99916	2721.996197	445.00009	166.00014	14698.00498	15496.993	11395.00467	5886.997834	241.7633	745.99964	1315.000416	20346.0407	2468.00481	2366.00391
N:GEXP::ARHGAP11A:9824:	608.8629	2317.0997	1653.4272	571.21828	711.65304	2006.58895	1013.3956	2767.2297	1824.00342	2271.3737	481.6418	440.28203	428.54413	1922.171602	598.76812	439.87315	3140.2042	6188.79381	1202.09481	3767.7432	1167.19505	2929.7511	398.8446	1228.37502	868.51309	3092.1543	833.09864	1717.4441	1472.1429	1484.04008	7748.6611	1183.24546	833.78191	1618.255226	2100.2786	2896.8474	3909.9978	1928.616478	1580.9931	2089.6271	700.33038	140.7028	1810.2006	987.8272	2647.4429	1429.7508	1295.52472	453.8179	730.78519	736.29828	334.32843	823.81628	1274.41671	2613.0672	1351.32226	710.86758	1376.2162	1230.70803	2136.5967	542.79015	2427.4599	1113.57682	2044.346485	6949.2452	6693.7585	3332.5174	4981.9316	732.64668	1030.5383	484.36883	636.19329	1660.954803	504.82917	140.7757	788.4732	1112.435	191.18205	210.24615	1276.13475	451.27849	256.04358	92.246	580.5856	228.161	2158.1331	147.9869	6423.6391	624.518	1475.56382	145.27714	200.48793	486.52748	541.1177	100.655	459.955483	338.6760905	528.33737	707.517992	532.1529	2455.56986	494.37572	2152.0638	3169.7789	169.236	281.428	636.28441	2349.1759	1583.59908	803.21256	1344.71952	4120.4886	1269.04507	508.49833	96.04588	435.058445	591.81726	927.90523	1098.72781	1912.0587	908.60126	1113.1156	996.21605	2818.6749	71.99608	280.60044	224.17113	99.46079	701.79732	144.855598
